text,intent


Where is my order?,order_status
Track my order.,order_status
Can you check my order status?,order_status
What is the status of my order?,order_status
Has my order been shipped?,order_status
I want to track my package.,order_status
Can you tell me where my parcel is?,order_status
Please track order number 12345.,order_status
Show my order status.,order_status
Is my order out for delivery?,order_status

Mera order kahan hai?,order_status
Mere order ka status batao.,order_status
Mera parcel track karo.,order_status
Order number 12345 ka status kya hai?,order_status
Kya mera order dispatch ho gaya?,order_status
Mujhe mera order track karna hai.,order_status
Mera package kab aayega?,order_status
Order ki current location batao.,order_status
Mera order abhi kahan pahucha hai?,order_status
Mere order ki delivery kab hogi?,order_status

Track karo mera order.,order_status
Mera order track kar do.,order_status
Order status check karo.,order_status
Please mera parcel check karo.,order_status
Mujhe order ki update chahiye.,order_status
Mera shipment kahan hai?,order_status
Can you track mera order?,order_status
Order ka latest status batao.,order_status
Parcel ka update do.,order_status


Mera package locate karo.,order_status
Track my shipment.,track_shipment
Where is my shipment?,track_shipment
Can you track my shipment?,track_shipment
I want to track my package.,track_shipment
Track package number 12345.,track_shipment
Show the live location of my shipment.,track_shipment
Where has my shipment reached?,track_shipment
Can I track my parcel?,track_shipment
Track my courier.,track_shipment
Where is my courier now?,track_shipment
Show my shipment details.,track_shipment
Locate my package.,track_shipment
Provide shipment tracking information.,track_shipment
Track my delivery package.,track_shipment
Give me shipment updates.,track_shipment

Mera shipment track karo.,track_shipment
Mera parcel kahan hai?,track_shipment
Mera courier track karo.,track_shipment
Shipment ki location batao.,track_shipment
Mera package abhi kahan hai?,track_shipment
Mujhe shipment track karna hai.,track_shipment
Mere parcel ki live location batao.,track_shipment
Shipment number 12345 track karo.,track_shipment
Mera courier kis jagah hai?,track_shipment
Parcel ki current location batao.,track_shipment
Shipment update do.,track_shipment
Mera package locate karo.,track_shipment
Mera shipment kidhar pahucha hai?,track_shipment
Parcel ki movement dikhao.,track_shipment
Courier ki tracking information do.,track_shipment

Track karo mera shipment.,track_shipment
Mera shipment locate karo.,track_shipment
Parcel track kar do.,track_shipment
Courier ka location batao.,track_shipment
Package track karo.,track_shipment
Can you track mera shipment?,track_shipment
Shipment ka latest update do.,track_shipment
Parcel ki live location dikhao.,track_shipment
Mera courier kaha tak pahucha?,track_shipment
Shipment check karo.,track_shipment
Package ki tracking dikhao.,track_shipment
Please mera courier track karo.,track_shipment
Shipment ka status aur location batao.,track_shipment
Courier tracking chahiye.,track_shipment
Parcel kaha hai abhi?,track_shipment

shipment track pls.,track_shipment
track parcel asap.,track_shipment
mera shipment??,track_shipment
courier location?,track_shipment
package tracking.,track_shipment

Cancel my order.,cancel_order
I want to cancel my order.,cancel_order
Please cancel my order.,cancel_order
Can you cancel my order?,cancel_order
Cancel order number 12345.,cancel_order
I no longer need my order.,cancel_order
Stop my order from being delivered.,cancel_order
I want to withdraw my order.,cancel_order
Cancel the purchase I made.,cancel_order
Please stop processing my order.,cancel_order
I placed the order by mistake.,cancel_order
Cancel my recent order.,cancel_order
Can I cancel my purchase?,cancel_order
Please cancel this order immediately.,cancel_order
I don't want this order anymore.,cancel_order

Mera order cancel karo.,cancel_order
Mujhe apna order cancel karna hai.,cancel_order
